피오라 벽 제대로 느끼게 해주는 "이렐킹식 Q평Q"	이렐킹식 Q평Q는 피오라의 벽을 돌파합니다.	1
피오라 벽 제대로 느끼게 해주는 "이렐킹식 Q평Q"	이렐킹식 Q평Q는 피오라의 벽을 돌파하지 못합니다.	0
피오라 벽 제대로 느끼게 해주는 "이렐킹식 Q평Q"	이렐킹식 Q평Q는 피오라가 아닌 다른 챔피언에 대한 기술입니다.	2
10/7 열분 소개합니다.      풍란과동행 010 4749 3537	10월 7일 열 분을 소개합니다.	1
10/7 열분 소개합니다.      풍란과동행 010 4749 3537	10월 7일 소개된 사람은 없습니다.	0
10/7 열분 소개합니다.      풍란과동행 010 4749 3537	이번 소개는 10월 8일에 이루어집니다.	2
[장석영의 정론직필] 이재명 지지층 재판부에 방탄용 “무죄” 탄원서 공세	이재명의 지지층이 무죄를 탄원했습니다.	1
[장석영의 정론직필] 이재명 지지층 재판부에 방탄용 “무죄” 탄원서 공세	이재명의 지지층이 무죄를 탄원하지 않았습니다.	0
[장석영의 정론직필] 이재명 지지층 재판부에 방탄용 “무죄” 탄원서 공세	이재명의 지지층은 판결에 무관심합니다.	2
비트코인 이더리움 리플 트론 에이다 등 디지털화폐 주식 금융자산에 대한 개인적 관점을 혼자말로 떠드는 방송입니다.	디지털화폐와 금융자산에 대한 개인적 의견을 표현하는 방송입니다.	1
비트코인 이더리움 리플 트론 에이다 등 디지털화폐 주식 금융자산에 대한 개인적 관점을 혼자말로 떠드는 방송입니다.	이 방송은 디지털화폐에 대한 이야기를 다루지 않습니다.	0
비트코인 이더리움 리플 트론 에이다 등 디지털화폐 주식 금융자산에 대한 개인적 관점을 혼자말로 떠드는 방송입니다.	이 방송은 음악에 관한 내용입니다.	2
EVENT! 아이더매직스타???? 아이더 X 유호진 써모락 슬림다운 입고 펼치는 환상의 마술쇼! ???? 깃털처럼 가볍고 따뜻한 써모락 경량패딩 깃털마술	아이더매직스타 이벤트에서 유호진의 마술쇼가 열립니다.	1
EVENT! 아이더매직스타???? 아이더 X 유호진 써모락 슬림다운 입고 펼치는 환상의 마술쇼! ???? 깃털처럼 가볍고 따뜻한 써모락 경량패딩 깃털마술	이 이벤트에서는 유호진의 마술쇼가 열리지 않습니다.	0
EVENT! 아이더매직스타???? 아이더 X 유호진 써모락 슬림다운 입고 펼치는 환상의 마술쇼! ???? 깃털처럼 가볍고 따뜻한 써모락 경량패딩 깃털마술	이 이벤트는 경량패딩 판매 행사입니다.	2
